id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
4416397,Parrot Nest Treehouse 1 (Gold Standard),22923135,Parrot Nest,Cayo,Cayo,17.174,-89.10828,Private room,117,2,261,2025-02-21,2.10,8,354,10,
4454404,Weezie's Oceanfront Hotel Penthouse,6334784,Tom,Belize,Belize Islands,17.73529,-88.02708,Entire home/apt,1021,1,19,2025-02-22,0.15,13,169,2,
4491461,Seaside Suite Sustainable Infinity Pool A/C & TV,23299192,James,Belize,Belize Islands,17.72935,-88.03591,Entire home/apt,353,4,54,2025-03-05,0.43,2,353,12,
4532384,Private Riverside Farm Home,23499058,Alianaʼs,Cayo,Cayo,17.17629,-89.09526,Entire home/apt,361,2,133,2025-02-28,1.09,3,356,6,
4628150,"Latitude 17- North Cabana, Hopkins Village, Belize",23969147,Wade,Stann Creek,Stann Creek Mainland,16.86099,-88.28348,Private room,253,1,48,2025-01-28,0.38,5,353,6,
4676589,Gigantic lovely room and home awaits you!,24187672,Maria,Cayo,Cayo,17.1582,-89.0673,Private room,69,1,217,2025-03-05,1.74,1,348,17,
4744010,Gold Standard Beachfront Private Room - Reef Shark,24272181,Brittney,Belize,Belize Islands,17.92457,-87.96047,Hotel room,178,1,112,2024-12-02,0.90,1,344,11,
4764996,Weezie's Oceanfront Hotel Standard Room,6334784,Tom,Belize,Belize Islands,17.73588,-88.02691,Hotel room,352,1,91,2025-03-07,0.73,13,169,12,
4774977,"Oceanfront Villa, Infinity Pool, dock, A/C & TV",23299192,James,Belize,Belize Islands,17.72874895662261,-88.03573549391315,Entire home/apt,474,4,16,2024-10-09,0.13,2,194,1,
4853657,"Bougainvillea Beach House, 3 Bedroom Home",24970020,Greta,Stann Creek,Stann Creek Mainland,16.65949,-88.31157,Entire home/apt,436,5,34,2024-12-27,0.45,1,338,1,
4865826,Baby Bungalow!,2134916,Kathrina,Belize,Belize Islands,17.73986,-88.02494,Entire home/apt,,2,133,2020-03-11,1.07,1,0,0,
4880194,Romantic vacation on the river,25105475,Mahogany,Cayo,Cayo,17.16794,-89.1185,Private room,,2,0,,,1,0,0,
4974742,Casa Redonda Private Home 4 Bedrooms/2 baths,25643683,Malcolm,Belize,Belize Islands,17.87862,-87.99524,Entire home/apt,989,3,17,2025-03-01,0.16,3,210,4,
4997035,Private room with AC and spa waterfall shower!,3726010,Diana,Belize,Belize Islands,17.910724639892578,-87.97432708740234,Private room,140,1,250,2025-03-03,2.04,8,348,8,
5036440,Marbucks #1 | Free Gourmet Breakfast & Coffee!,25998251,Jason And Brandi,Belize,Belize Islands,17.9408,-87.94735,Hotel room,404,1,93,2024-03-10,0.77,4,262,0,
5094589,"Relaxing Private Villa, Belize",26323792,Marlon,Belize,Belize Mainland,17.43785,-88.4056,Entire home/apt,129,1,10,2025-02-08,0.40,1,356,5,
5146251,"Stay on a Maya Site, 100 Acres Jungle, by ATM Cave",2084006,Lower Dover Jungle Lodge,Cayo,Cayo,17.213287353515625,-88.94599914550781,Private room,189,1,0,,,7,352,0,
5261351,The Jungle Cabana at Jaguar Creek,27234580,Jaguar Creek,Cayo,Cayo,17.16087,-88.67776,Private room,,1,92,2025-03-06,0.76,4,296,7,
5267333,The Palms 2 Bedroom Suite at Jaguar Creek,27234580,Jaguar Creek,Cayo,Cayo,17.1609,-88.6775,Entire home/apt,,1,18,2024-02-25,0.15,4,292,0,
5305836,Dolce Cabana spacious 1BR with full kitchen & pool,15048631,Nicole,Stann Creek,Stann Creek Mainland,16.52141,-88.37087,Entire home/apt,180,3,68,2023-12-22,0.66,3,0,0,
5371049,Comfy Apartment: Turtle Bay Villa 1bd/1bath apt,27842054,Belize Tropical Dream Villas,Belize,Belize Islands,17.9128,-87.96898,Entire home/apt,242,1,45,2025-01-19,0.37,6,343,11,
5531325,Caribbean Villas -Lofted Suite,28461667,Beth,Belize,Belize Islands,17.90618,-87.9738,Private room,757,3,50,2025-02-16,0.45,3,356,3,
5557762,Marbucks #2 | Free Gourmet Breakfast & Coffee!,25998251,Jason And Brandi,Belize,Belize Islands,17.94331,-87.94734,Hotel room,435,1,78,2025-02-22,0.67,4,263,6,
5558925,Marbucks #3 | Free Gourmet Breakfast & Coffee!,25998251,Jason And Brandi,Belize,Belize Islands,17.94294,-87.94646,Hotel room,404,2,87,2025-01-01,0.71,4,253,3,
5576163,Marbucks #4 | Free Gourmet Breakfast & Coffee!,25998251,Jason And Brandi,Belize,Belize Islands,17.94026,-87.94711,Entire home/apt,476,2,71,2024-12-29,0.58,4,234,3,
5717367,Comfortable and Ecological Camping,29641332,Kaissa,Cayo,Cayo,17.05426,-89.11307,Entire home/apt,,1,6,2017-10-16,0.05,1,0,0,
5940035,Tranqulia Caye (private cottage) With pool.,30838439,Mark,Belize,Belize Islands,17.73677,-88.02904,Entire home/apt,322,2,190,2025-02-28,1.60,1,324,18,
6064477,Chaleanor Hotel,16309281,Chadwick,Stann Creek,Stann Creek Mainland,16.96707,-88.22036,Private room,,1,29,2025-02-27,0.26,2,183,7,
6077368,Check in …Chill out,10998068,Herbert,Stann Creek,Stann Creek Mainland,16.60889,-88.35553,Entire home/apt,269,3,29,2025-03-18,0.26,10,153,14,
6269711,Upscale 3 bedroom home in the heart of the island,32582832,Minerva,Belize,Belize Islands,17.74694,-88.02353,Entire home/apt,656,3,54,2025-03-12,0.48,1,350,15,
6272624,Coconut Grove oceanfront cabin,604999,Bobbi,Belize,Belize Islands,17.73431,-88.02737,Entire home/apt,252,2,79,2025-01-12,0.70,18,276,11,
6290046,Jungle experience in modern setting in Maya Beach,22121955,Herbert,Stann Creek,Stann Creek Mainland,16.61048,-88.35514,Entire home/apt,148,3,26,2025-03-03,0.23,3,316,2,
6397393,5 Bed Version Plantacion De Suenos Hibiscus House,33357511,Villa,Belize,Belize Islands,17.88019,-87.99582,Entire home/apt,1907,5,22,2020-01-03,0.23,4,230,0,
6398296,6BR Beachfront Villa Mandevilla Pool/Wedding/Event,33357511,Villa,Belize,Belize Islands,17.88004,-87.99876,Entire home/apt,1715,5,29,2024-08-08,0.28,4,159,1,
6495159,Private 2BR Riverside Cabin #1,23499058,Alianaʼs,Cayo,Cayo,17.17643,-89.09573,Entire home/apt,325,2,139,2025-02-16,1.20,3,365,6,
6759766,Cozy Apartment: Dolphin Reef Villa - 1 Bed/1Bath,27842054,Belize Tropical Dream Villas,Belize,Belize Islands,17.9128,-87.96898,Entire home/apt,228,1,72,2024-12-11,0.64,6,340,3,
6760689,"Cozy Clean Room, Long term stay",2066467,Marta,Cayo,Cayo,17.25082,-88.76172,Private room,102,3,15,2024-02-18,0.14,4,365,0,
6775096,Casa Santa Maria on the Macal,35456693,Jim,Cayo,Cayo,17.02268,-89.06916,Entire home/apt,301,2,188,2025-03-17,1.60,1,330,14,
6966852,"Latitude 17- Gold Standard South Cabana, Hopkins",23969147,Wade,Stann Creek,Stann Creek Mainland,16.86263,-88.28366,Private room,216,1,20,2025-01-02,0.17,5,354,3,
6988404,Carolyn's House(beachfront)-Gold Standard Approved,36212095,Amiela,Belize,Belize Islands,17.73632,-88.02602,Entire home/apt,301,2,51,2025-02-01,0.50,5,213,6,
6990462,Carolyn's Other House-Gold Standard Certified,36212095,Amiela,Belize,Belize Islands,17.73746,-88.02757,Entire home/apt,260,2,40,2025-01-24,0.35,5,0,3,
7024492,Weezie's Hotel Queen Oceanfront Suite,6334784,Tom,Belize,Belize Islands,17.73598,-88.02706,Entire home/apt,495,1,33,2024-12-15,0.29,13,252,6,
7141990,Sundiver Beach Resort - Your Own Private Retreat!,37402444,D. Brian,Belize,Belize Islands,17.94106,-87.94876,Private room,,5,0,,,2,251,0,
7206891,Beck's Bed & Breakfast Family Room,37736866,Jane,Belize,Belize Mainland,17.77487,-88.5423,Private room,309,1,7,2024-01-02,0.06,1,365,0,
7291063,One Bedroom Bungalow,38183609,Vanilla Hills,Cayo,Cayo,17.16707,-89.10351,Entire home/apt,532,1,9,2021-03-09,0.08,5,314,0,
7399016,"Casa del Rai, Perfect Location with Roof top Pool!",38766913,Aileen,Belize,Belize Islands,17.92307,-87.95997,Entire home/apt,385,2,148,2025-03-16,1.46,4,314,25,
7434094,"Includes, Snorkeling & Fishing, Dining",38941553,Iz,Belize,Belize Islands,18.04443,-87.89389,Entire home/apt,622,5,13,2025-02-21,0.16,3,346,2,
